precision,recall,f1-score,support
0.0,0.0,0.0,6.0
1.0,1.0,1.0,7.0
1.0,0.8333333333333334,0.9090909090909091,6.0
1.0,1.0,1.0,7.0
1.0,0.6666666666666666,0.8,3.0
1.0,0.7142857142857143,0.8333333333333333,7.0
1.0,1.0,1.0,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,1.0,1.0,13.0
1.0,0.75,0.8571428571428571,4.0
1.0,0.42857142857142855,0.6,7.0
1.0,1.0,1.0,3.0
1.0,0.75,0.8571428571428571,12.0
1.0,0.6666666666666666,0.8,9.0
1.0,0.8,0.888888888888889,5.0
1.0,1.0,1.0,5.0
1.0,0.6666666666666666,0.8,3.0
1.0,0.75,0.8571428571428571,8.0
1.0,1.0,1.0,5.0
1.0,0.7142857142857143,0.8333333333333333,7.0
1.0,1.0,1.0,2.0
0.0,0.0,0.0,4.0
1.0,0.16666666666666666,0.2857142857142857,6.0
1.0,1.0,1.0,2.0
0.0,0.0,0.0,4.0
1.0,0.4,0.5714285714285715,5.0
1.0,1.0,1.0,2.0
1.0,0.5,0.6666666666666666,4.0
0.0,0.0,0.0,7.0
1.0,0.7142857142857143,0.8333333333333333,7.0
1.0,1.0,1.0,5.0
1.0,0.6,0.7499999999999999,10.0
1.0,0.625,0.7692307692307693,8.0
0.0,0.0,0.0,4.0
1.0,0.3333333333333333,0.5,6.0
1.0,0.5,0.6666666666666666,4.0
1.0,1.0,1.0,4.0
1.0,0.75,0.8571428571428571,4.0
0.0,0.0,0.0,1.0
1.0,1.0,1.0,5.0
0.0,0.0,0.0,5.0
1.0,1.0,1.0,6.0
1.0,1.0,1.0,5.0
1.0,0.14285714285714285,0.25,7.0
1.0,0.16666666666666666,0.2857142857142857,6.0
1.0,0.25,0.4,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,0.3333333333333333,0.5,6.0
1.0,1.0,1.0,3.0
1.0,0.3333333333333333,0.5,3.0
1.0,0.5,0.6666666666666666,2.0
1.0,1.0,1.0,6.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,7.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,10.0
1.0,0.4,0.5714285714285715,5.0
1.0,0.5714285714285714,0.7272727272727273,7.0
1.0,0.6666666666666666,0.8,6.0
1.0,1.0,1.0,5.0
1.0,0.8333333333333334,0.9090909090909091,6.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,6.0
1.0,1.0,1.0,4.0
1.0,0.3333333333333333,0.5,6.0
